--------------------------------------------------------------
| countryHappy             | rank  | nbEruptions | nbTsunami |
==============================================================
| "Chile"                  | "20"  | 0           | 1         |
| "Colombia"               | "36"  | 0           | 1         |
| "Greece"                 | "87"  | 0           | 1         |
| "Iran"                   | "108" | 0           | 1         |
| "Mexico"                 | "25"  | 0           | 1         |
| "Netherlands"            | "6"   | 0           | 1         |
| "Philippines"            | "72"  | 0           | 1         |
| "Russia"                 | "49"  | 0           | 1         |
| "Turkey"                 | "69"  | 0           | 1         |
| "Indonesia"              | "81"  | 4           |           |
| "Italy"                  | "48"  | 2           |           |
| "Guatemala"              | "29"  | 1           |           |
| "Afghanistan"            | "141" | 0           |           |
| "Albania"                | "109" | 0           |           |
| "Algeria"                | "53"  | 0           |           |
| "Angola"                 | "140" | 0           |           |
| "Argentina"              | "24"  | 0           |           |
| "Armenia"                | "121" | 0           |           |
| "Australia"              | "10"  | 0           |           |
| "Austria"                | "13"  | 0           |           |
| "Azerbaijan"             | "85"  | 0           |           |
| "Bahrain"                | "41"  | 0           |           |
| "Bangladesh"             | "110" | 0           |           |
| "Belarus"                | "67"  | 0           |           |
| "Belgium"                | "17"  | 0           |           |
| "Belize"                 | "50"  | 0           |           |
| "Benin"                  | "143" | 0           |           |
| "Bhutan"                 | "97"  | 0           |           |
| "Bolivia"                | "58"  | 0           |           |
| "BosniaandHerzegovina"   | "90"  | 0           |           |
| "Botswana"               | "142" | 0           |           |
| "Brazil"                 | "22"  | 0           |           |
| "Bulgaria"               | "105" | 0           |           |
| "BurkinaFaso"            | "134" | 0           |           |
| "Burundi"                | "154" | 0           |           |
| "Cambodia"               | "129" | 0           |           |
| "Cameroon"               | "107" | 0           |           |
| "Canada"                 | "7"   | 0           |           |
| "CentralAfricanRepublic" | "155" | 0           |           |
| "Chad"                   | "137" | 0           |           |
| "China"                  | "79"  | 0           |           |
| "Congo(Brazzaville)"     | "124" | 0           |           |
| "Congo(Kinshasa)"        | "126" | 0           |           |
| "CostaRica"              | "12"  | 0           |           |
| "Croatia"                | "77"  | 0           |           |
| "Cyprus"                 | "65"  | 0           |           |
| "CzechRepublic"          | "23"  | 0           |           |
| "Denmark"                | "2"   | 0           |           |
| "DominicanRepublic"      | "86"  | 0           |           |
| "Ecuador"                | "44"  | 0           |           |
| "Egypt"                  | "104" | 0           |           |
| "ElSalvador"             | "45"  | 0           |           |
| "Estonia"                | "66"  | 0           |           |
| "Ethiopia"               | "119" | 0           |           |
| "Finland"                | "5"   | 0           |           |
| "France"                 | "31"  | 0           |           |
| "Gabon"                  | "118" | 0           |           |
| "Georgia"                | "125" | 0           |           |
| "Germany"                | "16"  | 0           |           |
| "Ghana"                  | "131" | 0           |           |
| "Guinea"                 | "149" | 0           |           |
| "Haiti"                  | "145" | 0           |           |
| "Honduras"               | "91"  | 0           |           |
| "HongKongS.A.R.,China"   | "71"  | 0           |           |
| "Hungary"                | "75"  | 0           |           |
| "Iceland"                | "3"   | 0           |           |
| "India"                  | "122" | 0           |           |
| "Iraq"                   | "117" | 0           |           |
| "Ireland"                | "15"  | 0           |           |
| "Israel"                 | "11"  | 0           |           |
| "IvoryCoast"             | "128" | 0           |           |
| "Jamaica"                | "76"  | 0           |           |
| "Japan"                  | "51"  | 0           |           |
| "Jordan"                 | "74"  | 0           |           |
| "Kazakhstan"             | "60"  | 0           |           |
| "Kenya"                  | "112" | 0           |           |
| "Kosovo"                 | "78"  | 0           |           |
| "Kuwait"                 | "39"  | 0           |           |
| "Kyrgyzstan"             | "98"  | 0           |           |
| "Latvia"                 | "54"  | 0           |           |
| "Lebanon"                | "88"  | 0           |           |
| "Lesotho"                | "139" | 0           |           |
| "Liberia"                | "148" | 0           |           |
| "Libya"                  | "68"  | 0           |           |
| "Lithuania"              | "52"  | 0           |           |
| "Luxembourg"             | "18"  | 0           |           |
| "Macedonia"              | "92"  | 0           |           |
| "Madagascar"             | "144" | 0           |           |
| "Malawi"                 | "136" | 0           |           |
| "Malaysia"               | "42"  | 0           |           |
| "Mali"                   | "127" | 0           |           |
| "Malta"                  | "27"  | 0           |           |
| "Mauritania"             | "123" | 0           |           |
| "Mauritius"              | "64"  | 0           |           |
| "Moldova"                | "56"  | 0           |           |
| "Mongolia"               | "100" | 0           |           |
| "Montenegro"             | "83"  | 0           |           |
| "Morocco"                | "84"  | 0           |           |
