-------------------------------------------------------
| countryHappy             | rank  | nbcata           |
=======================================================
| "Chile"                  | "20"  | "1"^^xsd:decimal |
| "Colombia"               | "36"  | "1"^^xsd:decimal |
| "Greece"                 | "87"  | "1"^^xsd:decimal |
| "Iran"                   | "108" | "1"^^xsd:decimal |
| "Mexico"                 | "25"  | "1"^^xsd:decimal |
| "Netherlands"            | "6"   | "1"^^xsd:decimal |
| "Philippines"            | "72"  | "1"^^xsd:decimal |
| "Russia"                 | "49"  | "1"^^xsd:decimal |
| "Turkey"                 | "69"  | "1"^^xsd:decimal |
| "Afghanistan"            | "141" |                  |
| "Albania"                | "109" |                  |
| "Algeria"                | "53"  |                  |
| "Angola"                 | "140" |                  |
| "Argentina"              | "24"  |                  |
| "Armenia"                | "121" |                  |
| "Australia"              | "10"  |                  |
| "Austria"                | "13"  |                  |
| "Azerbaijan"             | "85"  |                  |
| "Bahrain"                | "41"  |                  |
| "Bangladesh"             | "110" |                  |
| "Belarus"                | "67"  |                  |
| "Belgium"                | "17"  |                  |
| "Belize"                 | "50"  |                  |
| "Benin"                  | "143" |                  |
| "Bhutan"                 | "97"  |                  |
| "Bolivia"                | "58"  |                  |
| "BosniaandHerzegovina"   | "90"  |                  |
| "Botswana"               | "142" |                  |
| "Brazil"                 | "22"  |                  |
| "Bulgaria"               | "105" |                  |
| "BurkinaFaso"            | "134" |                  |
| "Burundi"                | "154" |                  |
| "Cambodia"               | "129" |                  |
| "Cameroon"               | "107" |                  |
| "Canada"                 | "7"   |                  |
| "CentralAfricanRepublic" | "155" |                  |
| "Chad"                   | "137" |                  |
| "China"                  | "79"  |                  |
| "Congo(Brazzaville)"     | "124" |                  |
| "Congo(Kinshasa)"        | "126" |                  |
| "CostaRica"              | "12"  |                  |
| "Croatia"                | "77"  |                  |
| "Cyprus"                 | "65"  |                  |
| "CzechRepublic"          | "23"  |                  |
| "Denmark"                | "2"   |                  |
| "DominicanRepublic"      | "86"  |                  |
| "Ecuador"                | "44"  |                  |
| "Egypt"                  | "104" |                  |
| "ElSalvador"             | "45"  |                  |
| "Estonia"                | "66"  |                  |
| "Ethiopia"               | "119" |                  |
| "Finland"                | "5"   |                  |
| "France"                 | "31"  |                  |
| "Gabon"                  | "118" |                  |
| "Georgia"                | "125" |                  |
| "Germany"                | "16"  |                  |
| "Ghana"                  | "131" |                  |
| "Guinea"                 | "149" |                  |
| "Haiti"                  | "145" |                  |
| "Honduras"               | "91"  |                  |
| "HongKongS.A.R.,China"   | "71"  |                  |
| "Hungary"                | "75"  |                  |
| "Iceland"                | "3"   |                  |
| "India"                  | "122" |                  |
| "Iraq"                   | "117" |                  |
| "Ireland"                | "15"  |                  |
| "Israel"                 | "11"  |                  |
| "IvoryCoast"             | "128" |                  |
| "Jamaica"                | "76"  |                  |
| "Japan"                  | "51"  |                  |
| "Jordan"                 | "74"  |                  |
| "Kazakhstan"             | "60"  |                  |
| "Kenya"                  | "112" |                  |
| "Kosovo"                 | "78"  |                  |
| "Kuwait"                 | "39"  |                  |
| "Kyrgyzstan"             | "98"  |                  |
| "Latvia"                 | "54"  |                  |
| "Lebanon"                | "88"  |                  |
| "Lesotho"                | "139" |                  |
| "Liberia"                | "148" |                  |
| "Libya"                  | "68"  |                  |
| "Lithuania"              | "52"  |                  |
| "Luxembourg"             | "18"  |                  |
| "Macedonia"              | "92"  |                  |
| "Madagascar"             | "144" |                  |
| "Malawi"                 | "136" |                  |
| "Malaysia"               | "42"  |                  |
| "Mali"                   | "127" |                  |
| "Malta"                  | "27"  |                  |
| "Mauritania"             | "123" |                  |
| "Mauritius"              | "64"  |                  |
| "Moldova"                | "56"  |                  |
| "Mongolia"               | "100" |                  |
| "Montenegro"             | "83"  |                  |
| "Morocco"                | "84"  |                  |
| "Mozambique"             | "113" |                  |
| "Myanmar"                | "114" |                  |
| "Namibia"                | "111" |                  |
| "Nepal"                  | "99"  |                  |
| "NewZealand"             | "8"   |                  |
| "Nicaragua"              | "43"  |                  |
| "Niger"                  | "135" |                  |
| "Nigeria"                | "95"  |                  |
| "NorthCyprus"            | "61"  |                  |
| "Norway"                 | "1"   |                  |
| "Pakistan"               | "80"  |                  |
| "PalestinianTerritories" | "103" |                  |
| "Panama"                 | "30"  |                  |
| "Paraguay"               | "70"  |                  |
| "Peru"                   | "63"  |                  |
| "Poland"                 | "46"  |                  |
| "Portugal"               | "89"  |                  |
| "Qatar"                  | "35"  |                  |
| "Romania"                | "57"  |                  |
| "Rwanda"                 | "151" |                  |
| "SaudiArabia"            | "37"  |                  |
| "Senegal"                | "115" |                  |
| "Serbia"                 | "73"  |                  |
| "SierraLeone"            | "106" |                  |
| "Singapore"              | "26"  |                  |
| "Slovakia"               | "40"  |                  |
| "Slovenia"               | "62"  |                  |
| "Somalia"                | "93"  |                  |
| "SouthAfrica"            | "101" |                  |
| "SouthKorea"             | "55"  |                  |
